Package Name,Category
air.com.freshplanet.games.SongPop2,Music
gps.speedometer.gpsspeedometer.odometer,Maps & Navigation
com.eco.flashlight,Tools
com.mybible.todaypraybible,Books & Reference
com.ballytechnologies.f88,Casino
com.androiddvlpr.androiddvlprkeyboard,Tools
com.subway.mobile.subwayapp03,Food & Drink
coloring.color.number.happy.paint.art.drawing.puzzle,Board
com.orcas.panthia.island.fairyscapes,Casual
com.watch.life,Health & Fitness
com.publix.main,Lifestyle
com.onecwearable.keyboard,Productivity
com.gunslingerzombiewar.shooter,Casual
com.bgg.jump,Casual
com.teslacoilsw.launcher,Personalization
in.crossy.daily_crossword,Word
yoshion.pictures.jigsaw,Personalization
com.mattel163.phase10,Card
com.creditsesame,Finance
global.kidsy.app,Social
com.rockstargames.gtalcs,Adventure
com.gps.speedometer.odometer.speedtracker.pedometer.stepcounter,Maps & Navigation
com.sonic.sonicdrivein,Food & Drink
easy.sudoku.puzzle.solver.free,Puzzle
com.playvalve.spades,Card
com.livehousex.lively,Social
io.supercent.pizzaidle,Simulation
jp.co.goodroid.hyper.hexaaway,Puzzle
com.ea.game.starwarscapital_row,Role Playing
com.active911.app,Productivity
com.chipotle.ordering,Food & Drink
com.LTS.NVMS7000,
com.ecourier.mobile,Business
com.mathbrain.sudoku,Puzzle
com.staplegames.blocksClassicSGGP,Puzzle
com.vizio.vue.launcher,Entertainment
com.wapt.android.weather,
com.mm.android.DMSS,Lifestyle
net.groceryshopping.SproutsFarmersMarket,Shopping
com.runbuddy.prod,Health & Fitness
com.habby.capybara,Role Playing
com.nhn.android.band,Social
com.radio.fmradio,Music & Audio
com.movile.playkids.pkxd,Adventure
com.keep.clean.booster,
com.adp.wiselymobile,Finance
com.samsung.android.app.cocktailbarservice,
com.Beauchamp.Messenger.external,Entertainment
com.univision.prendetv,Entertainment
com.phonegap.dragondrive,Business
com.playvalve.yatzy,Board
com.tencent.android.qqdownloader,
ball.sort.puzzle.color.sorting.bubble.games,Puzzle
com.easy.tracker.klbot,Tools
com.medtronic.crhf.mclh,Medical
com.samsung.android.heartplugin,Tools
com.bd.nproject,Lifestyle
com.vizorapps.klondike,Simulation
